fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 215001	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.267793947478149	0.759941975304375	1911	482	12006	58095463.2683658	36
20240503 215052	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.186627085548517	0.537798566299421	362	1675	10746	59020950.5247376	37
20240503 215321	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	492	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0196287182256513	0.500016129408489	1050	222	12530	60698395.802099	38
20240503 215555	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0414099950173502	0.500066880373964	986	101	12259	59633434.7826087	39
20240503 215635	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.208612585919026	0.766433292451903	1641	943	13207	57548535.2323838	40
20240503 215908	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	888	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.016725316111512	0.59175278013213	1736	407	11634	61679109.4452774	41
20240503 220301	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1040	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.010030794900194	0.505503969051033	1744	293	11392	61756653.6731634	42
20240503 220747	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1418	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100012869048343	0.506725123442056	1939	286	11611	61599383.808096	43
20240503 221223	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1291	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100674247883849	0.513797414865679	1845	280	11011	61509668.6656672	44
20240503 221619	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1047	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.01007767298353	0.519957287532918	1780	284	11125	61245869.5652174	45
20240503 222059	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1368	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100827102195045	0.53345612150039	1653	292	11571	61144091.4542729	46
20240503 222606	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1599	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100118197456001	0.547845373405245	1650	292	11263	61332499.2503748	47
20240503 223007	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1206	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0101179580548049	0.560371283895271	1619	303	11799	61862130.4347826	48
20240503 223414	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1346	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0103255675062341	0.573842126724065	1645	304	12036	61417097.4512744	49
20240503 223643	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	571	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0145578205436054	0.571906270255248	1744	298	11690	61405982.0089955	50
20240503 224024	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1188	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0138038704615465	0.57059640342928	1655	302	11673	61319830.5847076	51
20240503 224352	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1049	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0146038990343447	0.566084599867472	1650	300	10442	60822845.5772114	52
20240503 224840	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1516	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100642359594546	0.539958769623587	1411	322	10634	61106215.892054	53
20240503 225137	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	628	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0175594119732665	0.539927353284527	2048	246	11626	61220950.5247376	54
20240503 225530	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1135	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0117910502337637	0.553299839416815	1525	302	12616	61868641.6791604	55
20240503 225923	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1139	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.010102943566574	0.560391351857219	1456	308	11262	61637448.2758621	56
20240503 230303	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1081	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100892685920509	0.56872869677727	1420	316	11825	61575974.5127436	57
20240503 230642	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1081	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0100892685920509	0.56872869677727	1420	316	11825	61575974.5127436	58
20240503 231018	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1103	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0102546054923055	0.571365538298323	1381	315	12218	61273736.131934	59
20240503 231349	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1003	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0125160908127058	0.564890408395805	1461	311	11331	61865230.8845577	60
20240503 231622	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	602	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0157599805871856	0.564735440050103	1483	293	9840	61690374.8125937	61
20240503 231916	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	795	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0169110204432637	0.567360810426355	1471	304	11056	61601775.1124438	62
20240503 232143	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0179386656470173	0.570003710138898	1468	300	10776	61588701.6491754	63
20240503 232408	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0179386656470173	0.570003710138898	1468	300	10776	61588701.6491754	64
20240503 232620	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	518	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0187696020525498	0.568878763485703	1469	302	11671	61872157.4212894	65
20240503 232922	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	953	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0210283700400683	0.574934220514572	1469	300	11956	61300455.7721139	66
